question_name,question_link,type,difficulty,,,,,,
Rotate by 90 degree,https://www.geeksforgeeks.org/problems/rotate-by-90-degree-1587115621/1?page=2&category=Matrix&sortBy=difficulty,ClassWork,Medium,,,,,,
Transpose of Matrix,https://www.geeksforgeeks.org/problems/transpose-of-matrix-1587115621/1?page=2&category=Matrix&sortBy=difficulty,ClassWork,Medium,,,,,,
Interchanging the rows of a Matrix,https://www.geeksforgeeks.org/problems/transpose-of-matrix-1587115621/1?page=2&category=Matrix&sortBy=difficulty,HomeWork,Medium,,,,,,
Rotate a Matrix by 180 Counterclockwise,https://www.geeksforgeeks.org/problems/c-matrix-rotation-by-180-degree0745/1?page=2&category=Matrix&sortBy=difficulty,HomeWork,Medium,,,,,,
Reversing the columns of a Matrix,https://www.geeksforgeeks.org/problems/reversing-the-columns-of-a-matrix-1587115621/1?page=3&category=Matrix&sortBy=difficulty,HomeWork,Medium,,,,,,
Magic Square,https://www.geeksforgeeks.org/problems/magic-square/1?page=3&category=Matrix&sortBy=difficulty,HomeWork,Hard,,,,,,
Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,ClassWork,Hard,,,,,,
Game of Life,https://leetcode.com/problems/game-of-life/,HomeWork,Medium,,,,,,
Number of Laser Beams in a Bank,https://leetcode.com/problems/number-of-laser-beams-in-a-bank/,HomeWork,Medium,,,,,,
Add Binary Strings,https://www.geeksforgeeks.org/problems/add-binary-strings3805/1,ClassWork,Medium,,,,,,
K-th Bit is Set or Not,https://www.geeksforgeeks.org/problems/check-whether-k-th-bit-is-set-or-not-1587115620/1,ClassWork,Easy,,,,,,
Unique Number I,https://www.geeksforgeeks.org/problems/find-unique-number/1,ClassWork,Easy,,,,,,
Exceptionally odd,https://www.geeksforgeeks.org/problems/find-the-odd-occurence4820/1?page=1&category=Bit%20Magic&sortBy=submissions,ClassWork,Easy,,,,,,
Missing in Array,https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1?page=1&category=Bit%20Magic&sortBy=submissions,HomeWork,Easy,,,,,,
First Set Bit,https://www.geeksforgeeks.org/problems/find-first-set-bit-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,HomeWork,Easy,,,,,,
Find position of set bit,https://www.geeksforgeeks.org/problems/find-position-of-set-bit3706/1,HomeWork,Easy,,,,,,
First and last Bit,https://www.geeksforgeeks.org/problems/first-and-last-bit2357/1,HomeWork,Easy,,,,,,
Find one extra character,https://www.geeksforgeeks.org/problems/find-one-extra-character/0,HomeWork,Easy,,,,,,
Play With OR,https://www.geeksforgeeks.org/problems/play-with-or5515/1?page=3&category=Bit%20Magic&sortBy=difficulty,HomeWork,Easy,,,,,,
Number of 1 Bits,https://www.geeksforgeeks.org/problems/set-bits0143/1,ClassWork,Easy,,,,,,
Bit Manipulation,https://www.geeksforgeeks.org/problems/bit-manipulation-1666686020/1,ClassWork,Easy,,,,,,
Count unset bits in a given Range,https://www.geeksforgeeks.org/problems/count-unset-bits-in-a-given-range1216/1,HomeWork,Easy,,,,,,
Set all the bits in given range of a number,https://www.geeksforgeeks.org/problems/set-all-the-bits-in-given-range-of-a-number4538/1?page=4&category=Bit%20Magic&sortBy=difficulty,HomeWork,Easy,,,,,,
Bit Difference,https://www.geeksforgeeks.org/problems/bit-difference-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,HomeWork,Easy,,,,,,
Longest Consecutive 1's,https://www.geeksforgeeks.org/problems/longest-consecutive-1s-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,HomeWork,Easy,,,,,,
Power of 2,https://www.geeksforgeeks.org/problems/power-of-2-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,HomeWork,Easy,,,,,,
C++ Nega Bit,https://www.geeksforgeeks.org/problems/c-nega-bit2019/1,HomeWork,Easy,,,,,,
Bitwise OR in a given Range,https://www.geeksforgeeks.org/problems/ishaans-curiosity0853/1?page=4&category=Bit%20Magic&sortBy=difficulty,HomeWork,Medium,,,,,,
Is Binary Number Multiple of 3,https://www.geeksforgeeks.org/problems/is-binary-number-multiple-of-30654/1?page=1&category=Bit%20Magic&sortBy=submissions,HomeWork,Medium,,,,,,
Bleak Numbers,https://www.geeksforgeeks.org/problems/bleak-numbers1552/1?page=2&category=Bit%20Magic&sortBy=submissions,HomeWork,Medium,,,,,,
Unique Number III,https://www.geeksforgeeks.org/problems/find-element-occuring-once-when-all-other-are-present-thrice/1,ClassWork,Medium,,,,,,
Unique Number II,https://www.geeksforgeeks.org/problems/finding-the-numbers0215/1,ClassWork,Medium,,,,,,
Akku and Binary Numbers,https://www.geeksforgeeks.org/problems/akku-and-binary-numbers0902/1?page=6&category=Bit%20Magic&sortBy=difficulty,HomeWork,Hard,,,,,,
Even Subsets,https://www.geeksforgeeks.org/problems/even-subsets/1?page=4&category=Bit%20Magic&sortBy=difficulty,ClassWork,Medium,,,,,,
Missing And Repeating,https://www.geeksforgeeks.org/problems/find-missing-and-repeating2512/1,ClassWork,Medium,,,,,,
Print all bitwise subsets of a number N,https://www.geeksforgeeks.org/problems/print-all-bitwise-subsets-of-a-number-n3301/1?page=3&category=Bit%20Magic&sortBy=difficulty,HomeWork,Medium,,,,,,
Sum of XOR of all pairs,https://www.geeksforgeeks.org/problems/sum-of-xor-of-all-pairs0723/1,ClassWork,Medium,,,,,,
Total Hamming Distance,https://www.geeksforgeeks.org/problems/total-hamming-distance/1?page=5&category=Bit%20Magic&sortBy=difficulty,HomeWork,Medium,,,,,,
Sum of bit differences,https://www.geeksforgeeks.org/problems/sum-of-bit-differences2937/1?page=5&category=Bit%20Magic&sortBy=difficulty,HomeWork,Medium,,,,,,
Minimum X (xor) A,https://www.geeksforgeeks.org/problems/minimum-x-xor-a--170645/1?page=5&category=Bit%20Magic&sortBy=difficulty,HomeWork,Medium,,,,,,
Sum of Products,https://www.geeksforgeeks.org/problems/sum-of-products5049/1?page=6&category=Bit%20Magic&sortBy=difficulty,HomeWork,Medium,,,,,,
Sum of XOR of all possible subsets,https://www.geeksforgeeks.org/problems/sum-of-xor-of-all-possible-subsets/1?page=6&category=Bit%20Magic&sortBy=difficulty,HomeWork,Hard,,,,,,
Maximum XOR of two numbers in an array,https://www.geeksforgeeks.org/problems/sum-of-xor-of-all-possible-subsets/1?page=6&category=Bit%20Magic&sortBy=difficulty,HomeWork,Hard,,,,,,
Minimum XOR value pair,https://www.geeksforgeeks.org/problems/minimum-xor-value-pair/1,ClassWork,Easy,,,,,,
Maximum AND Value,https://www.geeksforgeeks.org/problems/maximum-and-value2637/1,ClassWork,Medium,,,,,,
Counts Zeros Xor Pairs,https://www.geeksforgeeks.org/problems/counts-zeros-xor-pairs0349/1?page=3&category=Bit%20Magic&sortBy=difficulty,HomeWork,Medium,,,,,,
Count total set bits,https://www.geeksforgeeks.org/problems/count-total-set-bits-1587115620/1?page=1&category=Bit%20Magic&sortBy=submissions,ClassWork,Hard,,,,,,
Gray to Binary equivalent,https://www.geeksforgeeks.org/problems/gray-to-binary-equivalent-1587115620/1?page=6&category=Bit%20Magic&sortBy=difficulty,ClassWork,Hard,,,,,,
Count Primes,https://leetcode.com/problems/count-primes/,ClassWork,Medium,,,,,,
Closest Prime Numbers in Range,https://leetcode.com/problems/closest-prime-numbers-in-range/,ClassWork,Medium,,,,,,
N-divisors,https://www.geeksforgeeks.org/problems/n-divisors5123/1,ClassWork,Easy,,,,,,
Sum 1 to n Divisors,https://www.geeksforgeeks.org/problems/sum-of-all-divisors-from-1-to-n4738/1,HomeWork,Easy,,,,,,
Count Odd Factors,https://www.geeksforgeeks.org/problems/count-odd-factors0844/1,HomeWork,Easy,,,,,,
Prime Pairs With Target Sum,https://leetcode.com/problems/prime-pairs-with-target-sum/,HomeWork,Medium,,,,,,
Distinct Prime Factors of Product of Array,https://leetcode.com/problems/distinct-prime-factors-of-product-of-array/,HomeWork,Hard,,,,,,
Count pairs in array divisible by K,https://www.geeksforgeeks.org/problems/count-pairs-in-array-divisible-by-k/1,ClassWork,Medium,,,,,,
Product of Primes,https://www.geeksforgeeks.org/problems/product-of-primes5328/1,HomeWork,Medium,,,,,,
Product of an Array,https://www.geeksforgeeks.org/problems/product-of-array-element/1?page=6&category=Arrays&sortBy=difficulty,HomeWork,Easy,,,,,,
Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,HomeWork,Medium,,,,,,
Frequencies in a Limited Array,https://www.geeksforgeeks.org/problems/frequency-of-array-elements-1587115620/1,ClassWork,Easy,,,,,,
Rearrange an array with O(1) extra space,https://www.geeksforgeeks.org/problems/rearrange-an-array-with-o1-extra-space3142/1,ClassWork,Easy,,,,,,
Pascal Triangle,https://www.geeksforgeeks.org/problems/pascal-triangle0652/1,ClassWork,Medium,,,,,,
nCr,https://www.geeksforgeeks.org/problems/ncr1019/1,HomeWork,Medium,,,,,,
Rank The Permutations,https://www.geeksforgeeks.org/problems/rank-the-permutations2229/1,HomeWork,Medium,,,,,,
"GCD of two numbers
",https://www.geeksforgeeks.org/problems/gcd-of-two-numbers3459/1,ClassWork,Easy,,,,,,
GCD of Array,https://www.geeksforgeeks.org/problems/gcd-of-array0614/1,HomeWork,Easy,,,,,,
Sum of GCDs,https://www.geeksforgeeks.org/problems/sum-of-gcds1050/1,HomeWork,Medium,,,,,,
Array Subset,https://www.geeksforgeeks.org/problems/array-subset-of-another-array2317/1?page=1&category=Hash&sortBy=difficulty,HomeWork,Easy,,,,,,
Check Arithmetic Progression,https://www.geeksforgeeks.org/problems/check-arithmetic-progression1842/1?page=1&category=Hash&sortBy=difficulty,HomeWork,Easy,,,,,,
Difference between highest and lowest occurrence,https://www.geeksforgeeks.org/problems/difference-between-highest-and-lowest-occurrence4613/1?page=1&category=Hash&sortBy=difficulty,HomeWork,Easy,,,,,,
Find unique element,https://www.geeksforgeeks.org/problems/find-unique-element2632/1?page=1&category=Hash&sortBy=difficulty,HomeWork,Easy,,,,,,
Distinct Elements in a Stream,https://www.geeksforgeeks.org/problems/distinct-elements-in-a-stream1557/1?page=1&category=Hash&sortBy=difficulty,HomeWork,Easy,,,,,,
